Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Homeless People due to Natural Disaster,Life expectancy at birth (years),EPI,Prison Population,"Infant mortality rate (per 1,000 live births)",Education Index,Total
Iraq,2016,11th,10,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7,6.24,6.83,8.664,6.24,2.28,5.35,Alert
Iran,2016,47th,7.7,9.6,8.8,6.6,5.8,6.5,9.2,4.7,9.5,5.1,6.7,6.7,9.21,8.27,8.722,9.21,3.79,9.06,Alert
Jordan,2016,77th,5.2,6.9,7.7,6.6,5.6,3.9,6.4,4.4,8,6.7,9.3,7.3,8.87,8.33,9.051,8.87,1.35,8.14,Alert
Zimbabwe,2016,16th,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7,8.4,5.92,6.606,8.4,4.66,6.87,Alert
Haiti,2016,10th,7.9,9.6,6.7,8.9,9.5,9,9.4,9.4,7.7,9.2,7.9,9.9,4.24,5.55,8.891,4.24,6.03,3.53,Alert
Djibouti,2016,39th,6.6,7.3,6.7,7.1,8.1,5.5,7.9,8.1,7.5,8.5,7.5,8.9,9.25,8.04,8.467,9.25,0.29,9.23,Alert
Cote dvoire,2016,21st,7.7,9.4,8.3,6.8,8.2,7,8.1,8.7,8.1,8.2,8,9.4,7.76,7.96,6.934,7.76,0.85,6.84,Alert
Myanmar,2016,26th,8.4,8.6,9.9,6.4,7.9,6,8.7,8.7,8.6,7.3,8.3,7.5,6.99,6.93,7.904,6.99,1.36,7.25,Alert
Tajikistan,2016,57th,6.9,8.4,7.6,7.5,5.3,6.4,9.3,5.8,7.9,8.1,4.5,6.1,7.66,5.61,6.863,7.66,8.5,7.52,Alert
Egypt,2016,38th,8.3,8.8,9,8.4,6.2,4.4,8.4,5.1,9.7,6.8,7,8.1,7.22,7.37,8.581,7.22,2.57,6.22,Alert
Venezuela,2016,63rd,6.8,8.2,7.4,7,6.9,5.2,8.7,7.2,8.6,5.2,4.8,5.6,7.67,7.05,7.969,7.67,1.29,6.68,Alert
Papua New Guinea,2016,50th,7.2,7.1,6.5,5.8,9.3,7.4,7,9.2,7.1,7.9,4.7,7,9.49,5.31,6.964,9.49,5.71,9.16,Alert
North Korea,2016,30th,8.5,8.5,6,8.9,7.7,4.1,10,8.8,9.6,7.9,4.6,9.3,9.24,7,6.737,9.24,2.91,8.97,Alert
Guinea Bissau,2016,17th,9.1,9.6,5.4,8.5,8.7,8.3,8.9,9.5,7.5,8.3,7.5,8.5,6.4,7.21,8.898,6.4,2.43,5.08,Alert
Nigeria,2016,13th,9.7,9.9,9.4,7.7,8.8,7.4,8.8,9.4,9.1,9.1,7.7,6.5,5.58,6.51,7.529,5.58,3.28,4.75,Alert
Uganda,2016,23rd,7.3,8.9,9,6.7,7.6,7.6,8.3,8.5,8,8.7,9.1,8,7.4,6.96,7.305,7.4,0.77,6.41,Alert
Niger,2016,19th,8.9,8.9,7.7,8,8.2,7.2,7.8,9.2,6.7,9.5,8,8.3,6.4,6.61,6.959,6.4,3.95,5.46,Alert
Lebanon,2016,40th,8.9,9.3,8.7,6.1,5.8,5.1,7.8,5.9,7.4,5.8,9.5,9.3,9.01,7.05,9.043,9.01,0.29,8.67,Alert
Libya,2016,25th,9.6,9.4,8.3,8,5.8,6.5,9.5,7.2,9.3,5.1,8,9.7,5.86,7.08,7.028,5.86,5.07,4.74,Alert
Cameroon,2016,22nd,8.1,9.4,8.5,6.3,8.1,7.8,8.7,8.9,7.7,8.3,8,8,6.48,7.35,5.034,6.48,2.07,5.34,Alert
Burkina Faso,2016,41st,8.1,8.1,4.7,6.5,8.4,7.2,7.3,8.9,6.3,9.4,6.8,7.7,7.94,7.43,5.827,7.94,0.93,7.78,Alert
Rwanda,2016,32nd,5.9,8.3,9.1,6.2,8.5,7.6,6.8,7.6,7.4,8.2,8,7.7,6.82,7.48,7.329,6.82,1.75,6.37,Alert
Bangladesh,2016,36th,7.8,9.6,8.9,6.3,6.9,7.5,8,7.8,7.6,8,6.3,6,8.24,7.67,4.583,8.24,0.53,7.17,Alert
Eritrea,2016,18th,7.4,8.1,6.6,8.3,7.5,8,9.5,8.6,9.1,9.1,8.5,7.9,6.8,7.33,8.059,6.8,1.44,5.84,Alert
Nepal,2016,33rd,6.7,8.3,9.5,7,7.2,6.7,7.1,7.4,7.4,8.8,8,7.1,8.07,6.98,4.529,8.07,1.9,7.97,Alert
India,2016,70th,7.6,7.3,8.5,5.3,7.2,5.8,4.9,7.6,6.2,8.1,5.5,5.6,9.17,8.42,8.472,9.17,0.53,8.22,Warning
Kyrgyz Republic,2016,64th,6.5,8,8.6,7.2,6.1,6.7,7.9,5.3,7,5.7,5.5,6.6,7.94,6.96,8.8,7.94,3.55,8.05,Warning
Togo,2016,51st,6.7,7.6,4.8,6.5,8.4,7.6,8,8.3,6.9,8,6.8,6.2,9.13,7.13,4.692,9.13,0,8.55,Warning
Angola,2016,37th,6.2,7.2,7.7,6.1,9.6,6.3,8.8,9.2,7.5,9,7.3,5.6,8.58,8.15,4.337,8.58,0.21,7.18,Warning
Gambia,2016,48th,6,6.8,3.4,8.1,6.9,8.4,8.1,8,8.9,8.5,6.5,7.2,8.97,8.24,7.889,8.97,0.35,8.39,Warning
Israel and West Bank,2016,69th,7.1,8.1,9.8,4,7,3.5,6.6,5,7.7,5.7,7.5,7.7,7.74,7.56,8.506,7.74,2.65,7.04,Warning
Uzbekistan,2016,60th,7.3,8.8,7.3,6.5,7.1,6,9.7,5.1,9.4,5.8,5.7,4.8,7.25,7.3,7.024,7.25,2.31,6.43,Warning
Philippines,2016,54th,9.4,8,8.1,5.7,5.9,6.5,7.2,6.9,5.6,7.7,7.1,6.6,7.88,6.64,5.358,7.88,0.99,8.08,Warning
Mauritania,2016,28th,7.1,8.8,7.2,7.9,7,6.6,8.2,9.2,8.1,8.9,8.2,8.2,4.76,6.55,7.072,4.76,0.6,4.45,Warning
Guatemala,2016,61st,7.3,6.8,8.2,5.7,8.3,7,6.7,7.7,6.9,7.4,5.8,5.4,8.66,8.11,8.704,8.66,0.36,8.3,Warning
Pakistan,2016,14th,9.3,8.9,9.7,7.4,7,7.3,8.3,8.2,8.2,8.9,8.9,9.6,3.53,7.52,5.889,3.53,0.47,2.06,Warning
Cambodia,2016,46th,6.4,8.3,7.1,5.9,6.8,7.8,8.5,8,7.9,7.2,5.9,7.6,4.04,5.71,5.142,4.04,5.41,3.95,Warning
Zambia,2016,49th,4.7,5.7,5.4,8.1,8.9,8.1,7.2,8.1,7.1,9.5,6.6,6.9,7.43,6.57,5.85,7.43,4.33,8.03,Warning
Mozambique,2016,42nd,6.7,6.9,5.6,7.7,8.9,7.7,6.7,9.2,5.8,9.5,5.5,7.6,6.38,7.7,4.92,6.38,2.86,6.49,Warning
Laos,2016,55th,5.7,8.3,6.6,5.4,7.1,7.7,9.3,7.2,8.1,7.4,5.3,6.3,5.55,6.22,8.69,5.55,4.36,5.18,Warning
Equatorial Guinea,2016,53rd,6.7,8.2,6.3,6.2,8.9,5.7,9.9,7.4,9.4,7.7,3.6,5.2,6.91,7.13,8.448,6.91,2.03,6.01,Warning
Sri Lanka,2016,43rd,7.6,8.8,9.2,5.6,7.3,7.9,7.4,5.3,8.5,5.7,7.9,6.5,9.25,5.13,4.802,9.25,0.59,8.14,Warning
Ethiopia,2016,24th,8.1,8.3,8.6,6.7,6.7,7.3,7.7,8.3,8.5,9.3,9.5,8.2,4.2,6.42,8.571,4.2,3.41,2.67,Warning
Bolivia,2016,75th,6.7,8.3,6.2,5.1,8.8,6.7,7,7,6.2,6.4,4.1,6,6.07,6.99,6.329,6.07,2.72,4.52,Warning
Madagascar,2016,56th,7.3,7.8,4.3,7.8,8.8,6.4,7.3,9.3,5.8,8.8,3.6,7,4.27,5.01,8.23,4.27,5.28,4.23,Warning
Comoros,2016,57th,6.9,7.5,5,8.2,7.2,7.6,6.8,8.4,6.5,7.5,4.7,7.5,7.27,7.42,4.979,7.27,1.36,6.3,Warning
Congo Republic,2016,31st,6.7,6.7,6.9,6.7,8.3,7.1,9.1,9.2,8.2,8.1,7.9,7.3,5.92,6.29,6.255,5.92,3.32,5.2,Warning
Swaziland,2016,44th,6,6.8,3.4,9.4,8.4,7.2,8.8,7.8,8.8,8.9,4.8,7.3,5.15,8.06,7.37,5.15,0.21,4.45,Warning
Colombia,2016,67th,7,7.6,7,3.9,7.8,6.3,6.5,6.1,7.2,6.7,7.9,6.2,7.38,7.6,5.756,7.38,0.92,6.31,Warning
Burundi,2016,15th,9,8.5,8.1,8.2,7.4,6.5,9,8.2,8.5,9.5,9.1,8.7,4.02,5.9,0,4.02,6.09,2.62,Warning
Sierra Leone,2016,34th,4.5,7.8,5.9,8.8,8.5,8.7,7.1,9,5.5,9.2,7.9,8.1,7.65,6.47,4.969,7.65,0.82,6.59,Warning
Fiji,2016,82nd,6.8,7.9,7.1,6.7,6.5,7.9,7.1,4.5,6.6,4.4,3.3,7.4,8.65,7.7,8.549,8.65,0.23,8.77,Warning
Lesotho,2016,66th,5.9,7.3,4.1,8.2,7.6,7.7,6.1,8.3,4.7,8.2,4.8,8,8,8.21,8.693,8,0.73,6.11,Warning
Morocco,2016,89th,5.4,6.6,7.4,5,6.4,7.9,6.8,5.4,7,5,5.6,5.7,7.62,7.46,7.593,7.62,1.13,6.55,Warning
China,2016,86th,5.6,7.2,8.1,4.1,7.5,4.6,8.3,5.9,8.7,6.9,5.1,2.9,8.47,8.2,5.579,8.47,0.7,7.84,Warning
Saudi Arabia,2016,97th,6.5,8.2,7.5,4.7,5.5,3.5,8.1,4,8.9,5.5,4.9,4.9,8.56,8.12,6.914,8.56,0.45,6.98,Warning
Russia,2016,65th,9.2,8.1,9,5.4,6.4,4.2,8.2,4.4,9.4,4.8,6,5.9,7.4,7.3,7.224,7.4,4.45,6.72,Warning
Azerbaijan,2016,81st,6.4,7.9,6.7,3.8,5.6,4,8.9,5.1,8.6,4.8,7.9,6.6,8.93,8.16,5.989,8.93,0.29,8.2,Warning
Suriname,2016,112th,5.1,5.8,5.8,6.8,6.3,7,5.2,5.8,4.8,5,3,6.1,8.9,7.64,7.295,8.9,8.71,8.86,Warning
Malawi,2016,44th,4.5,7.7,5.1,8.6,8.5,8.1,6.6,8.1,6.4,9.3,6.3,8.4,7.16,6.12,7.355,7.16,1.14,6.16,Warning
Maldives,2016,91st,6.6,8,4.8,6.1,3.8,5.9,8.7,5.8,7.7,5.5,4.4,6.7,8.48,8.02,6.499,8.48,0.15,8.82,Warning
Senegal,2016,59th,5.9,6.6,6.6,7.6,7.6,7.7,5.2,7.6,6.2,8.3,7.5,6.8,8.02,7.83,4.717,8.02,0.3,7.69,Warning
Thailand,2016,74th,9.2,9.7,9,3.8,5.5,4.4,7.7,4.6,8.2,6.6,6.1,4,7.25,7.5,7.867,7.25,6.03,6.3,Warning
Ecuador,2016,84th,6.5,8.2,7.5,5.5,6.9,5.9,6.7,6,5.2,6,5.4,5.8,7.26,7.79,8.82,7.26,1.96,6.18,Warning
TimorLeste,2016,35th,7.4,8.3,6.7,8.1,7,7.3,7.1,8.7,5.5,9.2,6.5,9,5.41,6.37,6.492,5.41,0.35,5.45,Warning
Benin,2016,72nd,5.9,7,3.6,6.3,7.8,7.1,5.9,8.9,5.4,8.5,5.7,6.8,7.06,7.01,6.249,7.06,1.42,7.04,Warning
Tanzania,2016,62nd,5.2,6,5.4,6.4,7.3,7.3,6.1,8.8,6.1,8.9,6.9,7.4,4.9,8.28,6.373,4.9,3.36,3.18,Warning
Honduras,2016,68th,7,6.8,6.1,6.6,7.9,6.6,7,7,6.6,6.5,4,7.7,6.38,6.65,7.434,6.38,3.2,5.68,Warning
Bosnia and Herzegovina,2016,88th,5.9,8.7,7,5.7,5.3,5.2,6.7,3.8,6.1,4,7.8,8.4,6.74,6.87,4.148,6.74,3.06,6.56,Warning
Indonesia,2016,86th,5.9,7,7.3,5.5,6,6.6,5.3,6.1,7.4,6.8,5.6,5.4,8.36,7.53,7.398,8.36,0.16,8.34,Warning
Belize,2016,116th,6.1,4.3,4.1,6.4,5.9,6.7,5.4,6.1,4.4,5.6,3.8,7.2,8.96,8.1,6.397,8.96,0.33,8.41,Warning
Ukraine,2016,85th,7.8,8,6.9,7,4.4,5.4,8.4,3.9,6.2,4.4,4.3,8.8,7.48,6.55,5.834,7.48,0.59,6.73,Warning
Serbia,2016,98th,5.7,8,7.8,6.6,5,5,5.4,4.4,4.6,4.5,8.6,6.4,8.04,7.48,7.802,8.04,0.68,8.16,Warning
Gabon,2016,98th,4.7,7.1,4,5,6.7,5.8,7.7,6.9,7.2,6.8,4.7,5.4,8.95,8.1,6.439,8.95,0.19,8.47,Warning
Jamaica,2016,118th,6.6,3.7,3.6,7.1,5.6,8.1,5,6.1,5.2,4.9,3.1,6,9.23,8.11,9.068,9.23,0.32,9.1,Warning
El Salvador,2016,96th,7,4.3,6.2,5.6,6.6,7.5,5,6.6,6.5,6.6,5,5.6,7.39,7.61,8.46,7.39,1.84,6.65,Warning
Solomon Islands,2016,52nd,6.1,8.2,6.5,7.3,9.2,6.6,7,7.9,5.4,8.2,4.6,8.3,5.74,7.37,0,5.74,1.66,5.09,Warning
Georgia,2016,72nd,7,9.1,8.1,5.6,5.7,5.1,8.5,4.5,5.8,4.2,7.7,7.6,6.97,6.49,6.013,6.97,3.61,6.18,Warning
Mexico,2016,107th,8,5.1,6.7,4.4,6.3,5.5,6.2,6.5,6.2,6.2,4.1,5.2,7.01,7.49,6.786,7.01,7.45,5.61,Warning
Turkey,2016,79th,7.8,7.6,9.5,4.8,5.9,3.6,6.6,4.6,7.4,5.1,8.8,5.6,6.27,8.31,6.858,6.27,2.28,6.58,Warning
Paraguay,2016,95th,6.8,7.8,6,5.2,8.1,5.5,7.2,6.4,6.1,6.2,2.8,4.5,7.96,8.17,7.114,7.96,6.94,6.52,Warning
Ghana,2016,102nd,3.8,4.9,4.6,6.6,6.8,7.9,4.7,7.4,5.3,7.1,5.2,6.9,7.69,7.5,8.126,7.69,1.06,7.94,Warning
Algeria,2016,76th,7.7,7.1,7.9,6.8,6.3,5.4,7.8,5.5,6.8,5.4,6.5,5.1,7.45,7.5,4.177,7.45,2.19,6.58,Warning
Sao Tome and Principe,2016,94th,5.2,6.3,4.5,8.7,6.2,8.2,5.8,6.1,3.5,6.4,4.4,7.6,8.43,7.76,5.029,8.43,2.22,7.56,Warning
Belarus,2016,92nd,6.3,8.3,7.1,6.2,4.9,3.1,8.9,4.4,8.1,5.3,3.8,7.5,7.95,7.58,4.82,7.95,1.2,7.73,Warning
Tunisia,2016,88th,7.9,7.8,7.9,6.9,5.1,5.8,6.7,4.6,6.7,4.4,4.2,6.6,5.36,8.23,6.555,5.36,4.37,4.17,Warning
Kazakhstan,2016,113th,5.4,7.6,7.3,6.6,4.4,3.3,8,4.2,7.4,4.7,3.2,4.4,7.3,7.58,8.66,7.3,0.2,6.78,Warning
Vietnam,2016,106th,4.8,6.9,6.2,5.3,5.2,5.9,8.4,4.9,7.5,5.8,4.4,5.4,6.92,7.5,6.367,6.92,1.73,6.29,Warning
Samoa,2016,110th,4.9,5.1,4.5,6.5,5.1,9.2,5.7,5.1,4.3,5.9,2.4,8.9,8.55,6.83,7.313,8.55,1.31,8.52,Warning
Namibia,2016,103rd,5.2,3.5,6,7,8.4,6.8,3.5,7.6,4,7.3,5.2,6.6,7.35,7.17,8.024,7.35,0.28,7.37,Warning
Moldova,2016,93rd,6.3,8.3,7,6.6,5,6.3,6.8,5.1,5.1,5,4.1,7.6,8.56,5.85,5.124,8.56,2.96,7.81,Warning
Cuba,2016,114th,5.4,7,4.2,4.2,5.6,5.4,7.3,4.3,7.7,5.7,4.2,5.3,7.75,7.96,8.34,7.75,0.4,7.79,Warning
Bhutan,2016,78th,4.7,7.5,7.6,5.2,6.6,7.2,4.5,6.3,6.3,6.3,7.2,8.2,4.85,5.98,4.342,4.85,6.42,4.14,Warning
Nicaragua,2016,71st,5.7,7.1,6.7,5.9,8.2,8.3,7.6,6.9,5.4,5.5,4.2,7.5,5.56,5.55,6.807,5.56,5.67,4.1,Warning
Armenia,2016,109th,5,7,5.6,6.5,4.7,5.9,7.2,3.8,7,3.3,6.7,6.9,8.27,7.65,3.783,8.27,1.11,8.08,Warning
Cyprus,2016,119th,4.1,7.9,6.5,6.4,6.1,4.2,5,2.7,3.2,3.7,5,9.2,8.56,8.03,7.767,8.56,0.25,7.86,Warning
Macedonia,2016,111th,5.7,7.3,7.1,6,5.4,5.2,6,4.1,4,3,7,6.2,4.97,7.95,7.007,4.97,6.92,5.03,Warning
Brazil,2016,117th,6.4,4.9,5.7,4.5,8,4.3,5.9,6,6.1,7.6,2.9,3,6.98,6.45,4.898,6.98,3.48,6.58,Warning
Cape Verde,2016,101st,5.4,5.5,4.1,5.7,7.3,8.2,5.5,6.2,4.2,7.2,4.4,7.8,5.18,5.6,2.766,5.18,5.71,4.93,Warning
Turkmenistan,2016,83rd,6.5,7.8,6.8,5.1,6.9,4.8,9.8,5.8,8.9,5.6,3.7,4.3,5.31,6.97,6.063,5.31,3.77,4.41,Warning
Croatia,2016,136th,3.7,4.4,6,5.5,3.5,4.2,3.1,2.6,3.8,3.3,7.5,4.8,8.27,7.75,5.496,8.27,0.36,7.98,Warning
South Africa,2016,108th,5.8,5.6,6.3,6.6,7.7,5.2,5,7.2,4.4,7.3,5.6,3.2,4.94,7.44,7.418,4.94,0.26,3.55,Warning
Peru,2016,98th,7.3,6.9,7.6,3.4,7.6,7,7.4,6.9,4.5,5.2,4.5,3.7,5.5,7.7,6.964,5.5,0.2,3.95,Warning
Dominican Republic,2016,105th,5.5,6.2,6,5.2,6,7.3,5.7,6.8,6,7,3.5,5.6,4.73,6.23,8.859,4.73,5.42,3.1,Warning
Trinidad and Tobago,2016,127th,6,5.6,4.4,4.6,5.1,7.8,4.7,4.5,4.3,4.7,2.8,3.3,9.39,4.89,7.052,9.39,1.16,8.91,Warning
Greece,2016,130th,4.2,3.8,5.1,7,3.9,3.5,6.2,4,3.2,3.9,5,6.1,9.26,8.11,6.994,9.26,0.31,9.14,Warning
Brunei Darussalam,2016,123rd,5.3,7.4,5.9,3,7.8,4.3,8.3,2,7.9,3.9,2.4,3.8,7.54,7.47,5.021,7.54,1.46,6.81,Warning
Micronesia,2016,80th,4.8,5.6,4,9,8.5,9.5,5.7,6.2,3.4,7.6,3.6,9.2,4.42,7.7,4.371,4.42,0.51,3.12,Warning
Bahrain,2016,121st,6.4,7.1,7.9,3.5,4.8,3.2,8.4,2,8.3,4.3,2.5,5,7.92,7.56,3.673,7.92,0.99,7.15,Warning
Guyana,2016,104th,6.1,5.1,6.4,6.1,5.9,9.4,5.6,6.4,3.6,5.5,3.8,7,4.14,5.92,7.061,4.14,6.1,3.3,Warning
Malaysia,2016,115th,6.5,6.8,6.7,3.3,5.2,4.7,7.4,4.4,7.7,5.5,3.9,4,9.12,7.18,4.366,9.12,0.33,8.18,Warning
Albania,2016,124th,4.4,6.2,4.7,5.5,3.8,7.6,5.9,4.2,5,4.2,3.3,6.4,7.64,7.8,5.132,7.64,1.25,7.15,Warning
Montenegro,2016,131st,3.7,6.5,7.6,4.9,2.6,3.7,4.8,3.3,4.1,3,4.8,6.2,7.81,6.32,6.51,7.81,1.18,7.25,Warning
Antigua and Barbuda,2016,129th,5.4,3.7,3.9,4.7,4.7,7,5.6,4,4.6,4.3,2.8,5.5,5.33,5.27,5.713,5.33,9.6,4.82,Warning
Bahamas,2016,137th,4.3,4.5,4.1,4.5,4.7,4.7,4,4.8,3.3,6.6,2.7,3.4,7.59,7.09,6.645,7.59,2.79,7.23,Warning
Grenada,2016,122nd,5.9,5.6,3.8,6.2,5,8.6,5.6,4,3.4,4.9,3.2,6.8,5.79,6.15,8.324,5.79,4.28,5.51,Warning
Kuwait,2016,126th,4.2,7.5,5.2,2.7,4.4,3.3,7.4,2.8,7.6,5.2,3.7,4.5,7.42,7.42,8.203,7.42,1.26,7.01,Warning
Botswana,2016,120th,3.8,3.3,5.1,6,8,5.2,3.5,7,4.7,7.9,4.7,4.3,7.5,7.66,4.631,7.5,0.51,6.94,Warning
Bulgaria,2016,132nd,3.8,5.3,5.3,5.9,4.6,4.3,4.7,3.9,3.5,3.9,4,4.5,8.65,7.9,3.748,8.65,0.86,7.16,Warning
Hungary,2016,135th,2.4,5.3,5,5.6,4,3,6.3,3.4,4.9,2,6.7,4.1,4.93,6.31,6.935,4.93,5.22,4.25,Warning
Argentina,2016,140th,4,2.8,4.7,5.5,5.1,2.7,5,4,3.8,4,2.5,4.3,7.86,7.62,4.646,7.86,0.58,6.94,Warning
Mongolia,2016,128th,3.7,5.5,4,5,6.1,3,4.2,5.6,4.7,5.3,2.7,6.8,5.13,8.07,5.198,5.13,6.51,3.77,Warning
Romania,2016,134th,3.2,5.4,7,4.9,4.4,4.2,5.7,4,3.9,3.4,3,3.8,6.93,6.28,7.702,6.93,1.46,6.13,Warning
Oman,2016,137th,4.4,6.6,3.1,4.2,4.3,2.2,6.5,3.7,7.4,5,2.2,2,6.45,8.2,6.496,6.45,0.32,5.42,Warning
Czech Republic,2016,151st,2.3,5,5,4.3,2.9,2.5,4.9,2.8,2.6,1.6,4,2.9,8.78,7.88,8.003,8.78,0.28,8.78,Warning
Qatar,2016,142nd,2.3,5,4.6,2.3,4.9,2.8,6.3,1.5,6.5,4,2,2.9,5.16,7.78,7.814,5.16,1.8,4.19,Warning
Seychelles,2016,125th,6.3,6,4.5,4.3,5.7,5.6,5.7,2.9,4.3,4.8,2.9,7.2,4.98,7.03,3.71,4.98,0.97,4.26,Warning
Poland,2016,152nd,2,3.8,4.9,3.8,3.2,4.2,3.5,2.5,2.9,3,3.8,3.1,6.84,7.29,6.585,6.84,6.58,6.55,Warning
Chile,2016,150th,2.9,2.2,3.8,3.3,5.4,3.5,3.5,4.2,3.2,5.4,2.2,2.3,3.96,5.19,6.691,3.96,8.5,2.8,Stable
United Arab Emirates,2016,145th,2.8,3.6,3.6,2.6,3.9,2.2,6.9,2.4,7.5,4.2,2.2,2.6,6.06,7.46,6.954,6.06,0.35,4.94,Stable
Lithuania,2016,149th,3.1,3,4.6,4.7,4.7,4.1,2.9,3.7,2.7,3,2.4,3.5,8.3,6.66,8.16,8.3,0.69,8.35,Stable
Costa Rica,2016,142nd,3.3,3.8,4.4,4.2,5.5,3.8,2.6,4.1,1.7,3.8,3.6,4.3,4.35,5.91,7.984,4.35,7.45,4.75,Stable
Uruguay,2016,155th,3.5,2.7,2.7,3.3,4.3,4.1,1.1,3.1,2.5,4,2.2,2.7,7.8,6.02,6.768,7.8,3.39,7.17,Stable
Japan,2016,157th,1.3,2.6,3.9,4.3,1.8,2.9,1.4,1.8,3.2,4.5,3.4,4,8.99,8.26,8.426,8.99,0.29,8.7,Stable
South Korea,2016,156th,1.8,3.8,3.1,2.1,3.2,3.6,3.4,2.1,2.9,3.3,1.7,5.1,7.76,6.69,4.182,7.76,3.46,7.6,Stable
Slovak Republic,2016,144th,2,4.2,6.5,4.8,3.7,3.9,4.5,2.6,2.7,2.5,4,3.5,7.22,7.52,5.71,7.22,0.84,6.57,Stable
Mauritius,2016,147th,2.5,3.2,3.8,4.2,4,4.1,3.2,3.5,3.6,3.8,2.4,4.9,7.89,6.39,7.89,7.89,0.74,7,Stable
France,2016,158th,3,1.9,7,4.5,3.4,1.9,1.5,1.3,2.3,3,2.7,2,7.36,7.02,7.085,7.36,1.91,7.77,Stable
Spain,2016,153rd,3,6.3,5.9,5.2,3.7,2.1,3,2.4,2,2.2,2,2,4.2,7.33,6.419,4.2,4.17,3.74,Stable
Italy,2016,148th,4.2,4.9,5,5.5,3.1,1.7,3.9,2.3,2.2,2.8,5,2.5,6.49,6.96,8.921,6.49,0.3,5,Stable
Panama,2016,133rd,5.4,2.5,5.3,3.1,7.6,4.3,3.7,5.3,4.5,5.4,3.2,2.9,5.27,6.19,6.328,5.27,1.88,4.77,Stable
Latvia,2016,141st,3.2,4.3,7.7,3.7,4.3,4.5,3.6,3.1,2.8,3.1,3,4.1,5.88,6.62,8.863,5.88,1.97,5.9,Stable
Austria,2016,167th,1.2,2.7,4,1.9,3.1,1.2,1.1,1.3,1.4,2.1,6.1,1.4,9.39,8.25,5.956,9.39,0.3,9.39,Stable
Estonia,2016,146th,2.9,5.5,6.8,3.7,3.4,3.7,2.9,3.1,1.8,3,2.6,4,5.92,5.79,6.441,5.92,6.82,4.39,Stable
Barbados,2016,139th,4.4,4.2,4.1,6,4.8,5.1,2.7,2.7,2.6,4.1,2.6,5.7,5.79,7.2,5.54,5.79,3.07,4.57,Stable
United States,2016,159th,2.9,4.3,5.1,2.5,4.5,1.4,2.1,1.8,3.4,3,2.1,0.9,7.21,6.85,7.728,7.21,0.87,7.66,Stable
